id;name;anime;link;linkhtml
JP46;Kagoshima;Umi Monogatari;https://youtu.be/FmtzWyVaPzQ?si=Bp41Mrv6KDqnTpxj;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/FmtzWyVaPzQ?si=PFwyaVbRVMEqRPnz"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP44;Ōita;Detroit Metal City;https://youtu.be/8WOS1WNGrgU?si=CzoCZKr8YZH6AH2q;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/8WOS1WNGrgU?si=Fo0N-GI5yC8CupDv"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP40;Fukuoka;Sazae-San;https://youtu.be/tZR0IaKuT04?si=hBnHEXetD7wNEOqL;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/tZR0IaKuT04?si=b1SMqVPiS-Lg4jAF"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP41;Saga;ZOMBIE LAND SAGA;https://youtu.be/6NCTH0Uo8CQ?si=MvEiBTuH4NsLTedi;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6NCTH0Uo8CQ?si=FweOOA-cVHl8_YfX"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP42;Nagasaki;Barakamon;https://youtu.be/1gmN_3kr4wo?si=fjkwLJzTJbyPVx9P;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/1gmN_3kr4wo?si=N52b673JHhMwjw7B"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP43;Kumamoto;Natsume Yujin-cho;https://youtu.be/mea4xITAo_4?si=ZUwbsXDHXFoPqvi_;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mea4xITAo_4?si=0TpV0h1Ig0L07twn"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP45;Miyazaki;N/A;N/A;
JP36;Tokushima;Ohenro;https://youtu.be/06NyArS1oqs?si=UVjLXI04OzTe3Xot;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/06NyArS1oqs?si=-O5dlRzYWhM0i8tf"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP37;Kagawa;Poco's Udon World;https://youtu.be/K6fEsqTjFUw?si=eEoWu05-BMJnjP7Q;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/K6fEsqTjFUw?si=3dkcFqYdghBhOe1T"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP38;Ehime;Spirited Away;https://youtu.be/ByXuk9QqQkk?si=p9zp46vuR9p9AQeL;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ByXuk9QqQkk?si=NADHQohXpL0h7tqo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
